"...1","country_name","city","year","pm10_concentration","pm25_concentration","no2_concentration","pm10_tempcov","pm25_tempcov","no2_tempcov","type_of_stations","population","latitude","longitude","who_ms","clean_city","Region","AreaName","Value","Count","Denominator","Time period","Age","Sex","Area Type","area_type"
164,"United Kingdom of Great Britain and Northern Ireland","Liverpool/GBR",2019,16.005,8.554,23.14,70,96,95,"Urban, Urban, Urban, Urban",901708,53.389875,-2.908525,1,"Liverpool","North West","Liverpool",106.4351,50,46977,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
165,"United Kingdom of Great Britain and Northern Ireland","Liverpool/GBR",2013,14.021,11.187,28.693,98,97,80,"Urban, Urban, Urban",901708,53.3887,-2.943166667,1,"Liverpool","North West","Liverpool",163.8872,165,100679,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
166,"United Kingdom of Great Britain and Northern Ireland","Liverpool/GBR",2013,14.021,11.187,28.693,98,97,80,"Urban, Urban, Urban",901708,53.3887,-2.943166667,1,"Liverpool","North West","Liverpool",214.1447,115,53702,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
167,"United Kingdom of Great Britain and Northern Ireland","Liverpool/GBR",2013,14.021,11.187,28.693,98,97,80,"Urban, Urban, Urban",901708,53.3887,-2.943166667,1,"Liverpool","North West","Liverpool",106.4351,50,46977,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
168,"United Kingdom of Great Britain and Northern Ireland","Manchester/GBR",2010,NA,NA,36.693,NA,NA,97,NA,2730076,53.425273,-2.2405805,1,"Manchester","North West","Manchester",197.3828,270,136790,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
169,"United Kingdom of Great Britain and Northern Ireland","Manchester/GBR",2010,NA,NA,36.693,NA,NA,97,NA,2730076,53.425273,-2.2405805,1,"Manchester","North West","Manchester",219.7086,155,70548,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
170,"United Kingdom of Great Britain and Northern Ireland","Manchester/GBR",2010,NA,NA,36.693,NA,NA,97,NA,2730076,53.425273,-2.2405805,1,"Manchester","North West","Manchester",173.6059,115,66242,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
171,"United Kingdom of Great Britain and Northern Ireland","Manchester/GBR",2013,NA,12.501,38.785,NA,NA,94,NA,2730076,53.48152,-2.237881,1,"Manchester","North West","Manchester",197.3828,270,136790,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
172,"United Kingdom of Great Britain and Northern Ireland","Manchester/GBR",2013,NA,12.501,38.785,NA,NA,94,NA,2730076,53.48152,-2.237881,1,"Manchester","North West","Manchester",219.7086,155,70548,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
173,"United Kingdom of Great Britain and Northern Ireland","Manchester/GBR",2013,NA,12.501,38.785,NA,NA,94,NA,2730076,53.48152,-2.237881,1,"Manchester","North West","Manchester",173.6059,115,66242,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
174,"United Kingdom of Great Britain and Northern Ireland","Manchester/GBR",2020,14.537,8.242,27.077,96,96,99,"Urban",2730076,53.48152,-2.237881,1,"Manchester","North West","Manchester",197.3828,270,136790,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
175,"United Kingdom of Great Britain and Northern Ireland","Manchester/GBR",2020,14.537,8.242,27.077,96,96,99,"Urban",2730076,53.48152,-2.237881,1,"Manchester","North West","Manchester",219.7086,155,70548,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
176,"United Kingdom of Great Britain and Northern Ireland","Manchester/GBR",2020,14.537,8.242,27.077,96,96,99,"Urban",2730076,53.48152,-2.237881,1,"Manchester","North West","Manchester",173.6059,115,66242,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
177,"United Kingdom of Great Britain and Northern Ireland","Nottingham/GBR",2010,23.002,15.861,39.955,NA,76,99,NA,787610,52.95473,-1.146447,1,"Nottingham","East Midlands","Nottingham",110.249,80,72563,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
178,"United Kingdom of Great Britain and Northern Ireland","Nottingham/GBR",2010,23.002,15.861,39.955,NA,76,99,NA,787610,52.95473,-1.146447,1,"Nottingham","East Midlands","Nottingham",148.1521,55,37124,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
179,"United Kingdom of Great Britain and Northern Ireland","Nottingham/GBR",2010,23.002,15.861,39.955,NA,76,99,NA,787610,52.95473,-1.146447,1,"Nottingham","East Midlands","Nottingham",70.5438,25,35439,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
180,"United Kingdom of Great Britain and Northern Ireland","Nottingham/GBR",2013,21.269,12.235,37.044,NA,NA,96,NA,787610,52.95473,-1.146447,1,"Nottingham","East Midlands","Nottingham",110.249,80,72563,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
181,"United Kingdom of Great Britain and Northern Ireland","Nottingham/GBR",2013,21.269,12.235,37.044,NA,NA,96,NA,787610,52.95473,-1.146447,1,"Nottingham","East Midlands","Nottingham",148.1521,55,37124,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
182,"United Kingdom of Great Britain and Northern Ireland","Nottingham/GBR",2013,21.269,12.235,37.044,NA,NA,96,NA,787610,52.95473,-1.146447,1,"Nottingham","East Midlands","Nottingham",70.5438,25,35439,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
183,"United Kingdom of Great Britain and Northern Ireland","Nottingham/GBR",2020,15.257,8.699,21.43,99,99,99,"Urban, Urban",787610,52.9620535,-1.167649,1,"Nottingham","East Midlands","Nottingham",110.249,80,72563,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
184,"United Kingdom of Great Britain and Northern Ireland","Nottingham/GBR",2020,15.257,8.699,21.43,99,99,99,"Urban, Urban",787610,52.9620535,-1.167649,1,"Nottingham","East Midlands","Nottingham",148.1521,55,37124,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
185,"United Kingdom of Great Britain and Northern Ireland","Nottingham/GBR",2020,15.257,8.699,21.43,99,99,99,"Urban, Urban",787610,52.9620535,-1.167649,1,"Nottingham","East Midlands","Nottingham",70.5438,25,35439,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
186,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2010,NA,11.021,35.733,NA,94,95,NA,241002,50.37167,-4.142361,1,"Plymouth","South West","Plymouth",127.1017,70,55074,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
187,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2010,NA,11.021,35.733,NA,94,95,NA,241002,50.37167,-4.142361,1,"Plymouth","South West","Plymouth",179.1344,50,27912,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
188,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2010,NA,11.021,35.733,NA,94,95,NA,241002,50.37167,-4.142361,1,"Plymouth","South West","Plymouth",73.6323,20,27162,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
189,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2020,15.656,9.216,14.55,97,92,98,"Urban, Urban",262839,50.391364,-4.1363245,1,"Plymouth","South West","Plymouth",127.1017,70,55074,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
190,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2020,15.656,9.216,14.55,97,92,98,"Urban, Urban",262839,50.391364,-4.1363245,1,"Plymouth","South West","Plymouth",179.1344,50,27912,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
191,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2020,15.656,9.216,14.55,97,92,98,"Urban, Urban",262839,50.391364,-4.1363245,1,"Plymouth","South West","Plymouth",73.6323,20,27162,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
192,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2014,17.435,11.73,22.341,90,75,99,"Urban",263085,50.3717,-4.1424,1,"Plymouth","South West","Plymouth",127.1017,70,55074,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
193,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2014,17.435,11.73,22.341,90,75,99,"Urban",263085,50.3717,-4.1424,1,"Plymouth","South West","Plymouth",179.1344,50,27912,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
194,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2014,17.435,11.73,22.341,90,75,99,"Urban",263085,50.3717,-4.1424,1,"Plymouth","South West","Plymouth",73.6323,20,27162,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
195,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2015,17.923,11.331,18.774,92,74,99,"Urban",263085,50.3717,-4.1424,1,"Plymouth","South West","Plymouth",127.1017,70,55074,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
196,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2015,17.923,11.331,18.774,92,74,99,"Urban",263085,50.3717,-4.1424,1,"Plymouth","South West","Plymouth",179.1344,50,27912,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
197,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2015,17.923,11.331,18.774,92,74,99,"Urban",263085,50.3717,-4.1424,1,"Plymouth","South West","Plymouth",73.6323,20,27162,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
198,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2016,15.375,10.704,21.877,93,88,99,"Urban",263085,50.3717,-4.1424,1,"Plymouth","South West","Plymouth",127.1017,70,55074,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
199,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2016,15.375,10.704,21.877,93,88,99,"Urban",263085,50.3717,-4.1424,1,"Plymouth","South West","Plymouth",179.1344,50,27912,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
200,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2016,15.375,10.704,21.877,93,88,99,"Urban",263085,50.3717,-4.1424,1,"Plymouth","South West","Plymouth",73.6323,20,27162,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
201,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2017,14.205,9.161,19.758,94,95,94,"Urban, Urban",263085,50.3914,-4.13635,1,"Plymouth","South West","Plymouth",127.1017,70,55074,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
202,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2017,14.205,9.161,19.758,94,95,94,"Urban, Urban",263085,50.3914,-4.13635,1,"Plymouth","South West","Plymouth",179.1344,50,27912,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
203,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2017,14.205,9.161,19.758,94,95,94,"Urban, Urban",263085,50.3914,-4.13635,1,"Plymouth","South West","Plymouth",73.6323,20,27162,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
204,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2018,16.28,9.916,18.704,96,92,92,"Urban, Urban",263085,50.3914,-4.13635,1,"Plymouth","South West","Plymouth",127.1017,70,55074,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
205,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2018,16.28,9.916,18.704,96,92,92,"Urban, Urban",263085,50.3914,-4.13635,1,"Plymouth","South West","Plymouth",179.1344,50,27912,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
206,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2018,16.28,9.916,18.704,96,92,92,"Urban, Urban",263085,50.3914,-4.13635,1,"Plymouth","South West","Plymouth",73.6323,20,27162,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
207,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2019,16.934,11.123,18.857,96,95,91,"Urban, Urban",263085,50.3914,-4.13635,1,"Plymouth","South West","Plymouth",127.1017,70,55074,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
208,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2019,16.934,11.123,18.857,96,95,91,"Urban, Urban",263085,50.3914,-4.13635,1,"Plymouth","South West","Plymouth",179.1344,50,27912,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
209,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2019,16.934,11.123,18.857,96,95,91,"Urban, Urban",263085,50.3914,-4.13635,1,"Plymouth","South West","Plymouth",73.6323,20,27162,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
210,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2013,18.331,12.007,22.172,87,91,99,"Urban",246523,50.3716775,-4.14237075,1,"Plymouth","South West","Plymouth",127.1017,70,55074,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
211,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2013,18.331,12.007,22.172,87,91,99,"Urban",246523,50.3716775,-4.14237075,1,"Plymouth","South West","Plymouth",179.1344,50,27912,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
212,"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2013,18.331,12.007,22.172,87,91,99,"Urban",246523,50.3716775,-4.14237075,1,"Plymouth","South West","Plymouth",73.6323,20,27162,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
213,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2010,NA,NA,21.868,NA,NA,98,NA,193379,50.82881,-1.068583,1,"Portsmouth","South East","Portsmouth",89.7223,40,44582,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
214,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2010,NA,NA,21.868,NA,NA,98,NA,193379,50.82881,-1.068583,1,"Portsmouth","South East","Portsmouth",128.1887,30,23403,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
215,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2010,NA,NA,21.868,NA,NA,98,NA,193379,50.82881,-1.068583,1,"Portsmouth","South East","Portsmouth",47.2166,10,21179,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
216,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2020,18.241,9.394,19.129,92,15,57,"Urban, Urban",214692,50.8135745,-1.0820705,1,"Portsmouth","South East","Portsmouth",89.7223,40,44582,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
217,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2020,18.241,9.394,19.129,92,15,57,"Urban, Urban",214692,50.8135745,-1.0820705,1,"Portsmouth","South East","Portsmouth",128.1887,30,23403,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
218,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2020,18.241,9.394,19.129,92,15,57,"Urban, Urban",214692,50.8135745,-1.0820705,1,"Portsmouth","South East","Portsmouth",47.2166,10,21179,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
219,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2014,18.474,14.145,20.222,59,92,74,"Urban",542040,50.8288,-1.0686,1,"Portsmouth","South East","Portsmouth",89.7223,40,44582,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
220,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2014,18.474,14.145,20.222,59,92,74,"Urban",542040,50.8288,-1.0686,1,"Portsmouth","South East","Portsmouth",128.1887,30,23403,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
221,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2014,18.474,14.145,20.222,59,92,74,"Urban",542040,50.8288,-1.0686,1,"Portsmouth","South East","Portsmouth",47.2166,10,21179,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
222,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2015,16.146,10.396,18.769,74,93,93,"Urban",542040,50.8288,-1.0686,1,"Portsmouth","South East","Portsmouth",89.7223,40,44582,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
223,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2015,16.146,10.396,18.769,74,93,93,"Urban",542040,50.8288,-1.0686,1,"Portsmouth","South East","Portsmouth",128.1887,30,23403,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
224,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2015,16.146,10.396,18.769,74,93,93,"Urban",542040,50.8288,-1.0686,1,"Portsmouth","South East","Portsmouth",47.2166,10,21179,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
225,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2016,18.151,11.626,20.045,67,91,94,"Urban",542040,50.8288,-1.0686,1,"Portsmouth","South East","Portsmouth",89.7223,40,44582,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
226,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2016,18.151,11.626,20.045,67,91,94,"Urban",542040,50.8288,-1.0686,1,"Portsmouth","South East","Portsmouth",128.1887,30,23403,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
227,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2016,18.151,11.626,20.045,67,91,94,"Urban",542040,50.8288,-1.0686,1,"Portsmouth","South East","Portsmouth",47.2166,10,21179,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
228,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2017,14.615,11.145,19.188,82,75,98,"Urban",542040,50.8288,-1.0686,1,"Portsmouth","South East","Portsmouth",89.7223,40,44582,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
229,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2017,14.615,11.145,19.188,82,75,98,"Urban",542040,50.8288,-1.0686,1,"Portsmouth","South East","Portsmouth",128.1887,30,23403,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
230,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2017,14.615,11.145,19.188,82,75,98,"Urban",542040,50.8288,-1.0686,1,"Portsmouth","South East","Portsmouth",47.2166,10,21179,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
231,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2018,17.647,12.378,24.629,81,56,98,"Urban, Urban",542040,50.81355,-1.0821,1,"Portsmouth","South East","Portsmouth",89.7223,40,44582,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
232,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2018,17.647,12.378,24.629,81,56,98,"Urban, Urban",542040,50.81355,-1.0821,1,"Portsmouth","South East","Portsmouth",128.1887,30,23403,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
233,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2018,17.647,12.378,24.629,81,56,98,"Urban, Urban",542040,50.81355,-1.0821,1,"Portsmouth","South East","Portsmouth",47.2166,10,21179,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
234,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2019,17.272,8.88,22.632,97,92,99,"Urban, Urban",542040,50.81355,-1.0821,1,"Portsmouth","South East","Portsmouth",89.7223,40,44582,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
235,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2019,17.272,8.88,22.632,97,92,99,"Urban, Urban",542040,50.81355,-1.0821,1,"Portsmouth","South East","Portsmouth",128.1887,30,23403,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
236,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2019,17.272,8.88,22.632,97,92,99,"Urban, Urban",542040,50.81355,-1.0821,1,"Portsmouth","South East","Portsmouth",47.2166,10,21179,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
237,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2013,18.136,13.936,20.273,74,94,84,"Urban",309599,50.82880667,-1.068588667,1,"Portsmouth","South East","Portsmouth",89.7223,40,44582,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
238,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2013,18.136,13.936,20.273,74,94,84,"Urban",309599,50.82880667,-1.068588667,1,"Portsmouth","South East","Portsmouth",128.1887,30,23403,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
239,"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2013,18.136,13.936,20.273,74,94,84,"Urban",309599,50.82880667,-1.068588667,1,"Portsmouth","South East","Portsmouth",47.2166,10,21179,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
240,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2010,NA,13.365,NA,NA,81,NA,NA,128615,51.45309,-0.944067,1,"Reading","South East","Reading",102.6299,40,38975,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
241,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2010,NA,13.365,NA,NA,81,NA,NA,128615,51.45309,-0.944067,1,"Reading","South East","Reading",143.8711,30,20852,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
242,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2010,NA,13.365,NA,NA,81,NA,NA,128615,51.45309,-0.944067,1,"Reading","South East","Reading",82.7678,15,18123,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
243,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2020,17.259,8.491,16.668,95,93,94,"Urban, Urban",160337,51.453993,-0.9422245,1,"Reading","South East","Reading",102.6299,40,38975,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
244,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2020,17.259,8.491,16.668,95,93,94,"Urban, Urban",160337,51.453993,-0.9422245,1,"Reading","South East","Reading",143.8711,30,20852,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
245,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2020,17.259,8.491,16.668,95,93,94,"Urban, Urban",160337,51.453993,-0.9422245,1,"Reading","South East","Reading",82.7678,15,18123,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
246,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2014,14.03,9.832,26.51,95,73,98,"Urban",329619,51.4531,-0.9441,1,"Reading","South East","Reading",102.6299,40,38975,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
247,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2014,14.03,9.832,26.51,95,73,98,"Urban",329619,51.4531,-0.9441,1,"Reading","South East","Reading",143.8711,30,20852,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
248,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2014,14.03,9.832,26.51,95,73,98,"Urban",329619,51.4531,-0.9441,1,"Reading","South East","Reading",82.7678,15,18123,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
249,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2015,12.467,7.421,22.224,95,95,97,"Urban",329619,51.4531,-0.9441,1,"Reading","South East","Reading",102.6299,40,38975,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
250,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2015,12.467,7.421,22.224,95,95,97,"Urban",329619,51.4531,-0.9441,1,"Reading","South East","Reading",143.8711,30,20852,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
251,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2015,12.467,7.421,22.224,95,95,97,"Urban",329619,51.4531,-0.9441,1,"Reading","South East","Reading",82.7678,15,18123,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
252,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2016,15.853,8.742,31.999,80,88,76,"Urban, Urban",329619,51.454,-0.94225,1,"Reading","South East","Reading",102.6299,40,38975,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
253,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2016,15.853,8.742,31.999,80,88,76,"Urban, Urban",329619,51.454,-0.94225,1,"Reading","South East","Reading",143.8711,30,20852,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
254,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2016,15.853,8.742,31.999,80,88,76,"Urban, Urban",329619,51.454,-0.94225,1,"Reading","South East","Reading",82.7678,15,18123,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
255,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2017,14.43,9.666,28.838,96,94,97,"Urban, Urban",329619,51.454,-0.94225,1,"Reading","South East","Reading",102.6299,40,38975,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
256,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2017,14.43,9.666,28.838,96,94,97,"Urban, Urban",329619,51.454,-0.94225,1,"Reading","South East","Reading",143.8711,30,20852,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
257,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2017,14.43,9.666,28.838,96,94,97,"Urban, Urban",329619,51.454,-0.94225,1,"Reading","South East","Reading",82.7678,15,18123,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
258,"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2018,15.099,9.115,27.776,85,93,98,"Urban, Urban",329619,51.454,-0.94225,1,"Reading","South East","Reading",102.6299,40,38975,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
